Name,Quantity,Component
"D7",1,"White LED"
"D8",1,"Orange LED"
"D9",1,"Yellow LED"
"D10",1,"Green LED"
"D11",1,"Blue LED"
"U6",1," Arduino Uno R3"
"R1, R2, R3, R4, R5",5,"1 kΩ Resistor"
